transactTime,"symbol","execType","side","lastQty","lastPx","execCost","commission","execComm","ordType","orderQty","leavesQty","price","text","orderID","orderID2"
31.5.2020, 02:06:52,"XBTUSD","Trade","Sell","15000","9668","155145000","0.00075","116358","Stop","15000","0","9668","Triggered: Order stop price reached
Submitted via API.","d30a2ab4-fe57-3801-59f6-9a65fa69da4c"
31.5.2020, 00:43:32,"XBTUSD","Trade","Buy","15000","9587","-156465000","0.00075","117348","Stop","15000","0","9587","Triggered: Order stop price reached
Submitted via API.","73ef7bdc-6c65-602e-847b-c0811bcde951"
30.5.2020, 02:00:21,"XBTUSD","Trade","Sell","15000","9427","159120000","0.00075","119340","Market","15000","0","9427","Submitted via API.","159bbca4-5752-017a-c8af-56f71db51817"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","248","9449","-2624584","0.00075","1968","Stop","15000","0","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","1500","9449","-15874500","0.00075","11905","Stop","15000","248","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","100","9449","-1058300","0.00075","793","Stop","15000","1748","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","120","9449","-1269960","0.00075","952","Stop","15000","1848","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","2000","9449","-21166000","0.00075","15874","Stop","15000","1968","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","5000","9449","-52915000","0.00075","39686","Stop","15000","3968","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
30.5.2020, 01:28:22,"XBTUSD","Trade","Buy","231","9449","-2444673","0.00075","1833","Stop","15000","8968","9449","Triggered: Order stop price reached
Submitted via API.","5636ec5e-869d-27fd-ccec-8afa03f367f1"
